Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.775160,3.117303,2.615493,2.965239,0.763491,337408273
1985-02-01,2.919620,2.950033,2.630699,2.714334,0.705808,347629330
1985-03-01,2.729541,2.775160,2.569874,2.577477,0.670221,261454835
1985-04-01,2.592684,2.721938,2.440620,2.486239,0.646496,239968748
1985-05-01,2.440620,2.699128,2.440620,2.645906,0.697582,275550912
1985-06-01,2.645906,2.797969,2.615493,2.744747,0.723641,228261476
1985-07-01,2.744747,2.813176,2.592684,2.714334,0.715622,234462827
1985-08-01,2.729541,2.744747,2.615493,2.676318,0.715411,108857449
1985-09-01,2.661112,2.729541,2.615493,2.691525,0.719476,135034006
1985-10-01,2.683922,2.912017,2.683922,2.828382,0.756059,235764917
1985-11-01,2.843588,3.383414,2.828382,3.284573,0.891762,338836955
1985-12-01,3.269366,3.596303,3.200938,3.527874,0.957818,196633249
1986-01-01,3.497462,3.930843,3.269366,3.809192,1.034196,225655655
1986-02-01,3.809192,4.440256,3.755970,4.364224,1.198963,240343594
1986-03-01,4.303398,5.094129,4.295795,4.980081,1.368155,240320576
1986-04-01,5.002891,5.177764,4.531494,4.599922,1.263715,295466928
1986-05-01,4.592319,4.980081,4.577113,4.896446,1.359064,177192366
1986-06-01,4.896446,5.177764,4.721573,5.029502,1.395994,136914249
1986-07-01,5.029502,5.291812,4.687359,4.881240,1.354842,199508693
1986-08-01,4.892645,5.793621,4.801407,5.451478,1.528229,183982287
1986-09-01,5.474288,5.474288,4.516287,4.835621,1.355584,213080869
1986-10-01,4.881240,5.394454,4.847026,5.234788,1.467484,184935836
1986-11-01,5.269002,5.451478,5.018097,5.337431,1.513216,130310651
1986-12-01,5.314621,5.531312,5.063716,5.132145,1.455016,187495075
1987-01-01,5.189169,7.150788,5.189169,6.785836,1.923855,267021037
1987-02-01,6.808645,7.344669,6.614764,6.968312,1.993035,198608850
1987-03-01,6.979717,7.755241,6.934098,7.698217,2.201798,214873981
1987-04-01,7.629789,8.439527,7.242027,8.302670,2.374680,296116327
1987-05-01,8.371098,9.192242,7.949122,8.291265,2.393207,255699016
1987-06-01,8.393908,9.329099,8.268456,9.032575,2.607181,196364173
1987-07-01,8.998361,9.887932,8.918527,9.272075,2.676311,209820171
1987-08-01,9.123813,10.275694,9.123813,9.853718,2.865060,228116250
1987-09-01,9.842313,9.910742,8.622003,8.941337,2.599777,243208625
1987-10-01,8.941337,9.294884,5.474288,6.888479,2.002889,543465765
1987-11-01,6.888479,7.253431,6.295431,6.489312,1.914990,200992722
1987-12-01,6.546336,7.287646,6.500717,6.877074,2.029418,177130987
1988-01-01,6.945503,8.006146,6.934098,7.755241,2.288564,176111676
1988-02-01,7.869289,8.393908,7.253431,8.234241,2.459282,136116885
1988-03-01,8.188622,8.530765,7.549955,7.823670,2.336656,138204279
1988-04-01,7.664003,8.736051,7.664003,8.622003,2.575091,150280918
1988-05-01,8.667622,8.986956,8.302670,8.781670,2.656602,112758777
1988-06-01,8.827289,9.944956,8.804480,9.716861,2.939514,156090443
1988-07-01,9.694051,9.922147,9.169432,9.671242,2.925714,146935827
1988-08-01,9.671242,9.899337,8.530765,8.986956,2.750831,119525686
1988-09-01,8.964146,9.465956,8.758860,9.329099,2.855559,119471431
1988-10-01,9.397527,10.036194,9.237861,9.397527,2.876504,129331891
1988-11-01,9.397527,9.580004,8.918527,9.488765,2.936688,112542859
1988-12-01,9.511575,9.694051,9.215051,9.215051,2.851974,101387435
1989-01-01,9.169432,9.990575,9.101003,9.967766,3.084934,165773892
1989-02-01,9.944956,10.332718,9.374718,9.420337,2.957969,115869319
1989-03-01,9.465956,9.534385,8.781670,8.918527,2.800401,118549669
1989-04-01,8.941337,9.009765,8.485146,8.713241,2.735941,133920981
1989-05-01,8.667622,9.146623,8.416717,8.895718,2.836884,116046327
1989-06-01,8.872908,9.169432,8.736051,8.850099,2.822336,127665923
1989-07-01,8.804480,9.260670,8.690432,9.101003,2.902349,104656356
1989-08-01,9.101003,9.853718,9.009765,9.830908,3.182383,165719091
1989-09-01,9.830908,9.967766,9.215051,9.283480,3.005174,90041303
1989-10-01,9.283480,9.830908,8.485146,8.644813,2.798430,124185470
1989-11-01,8.667622,8.713241,7.914908,8.143003,2.677284,95924806
1989-12-01,8.188622,8.393908,7.549955,7.960527,2.617287,88094198
1990-01-01,7.983336,8.371098,7.572765,7.869289,2.587290,97144145
1990-02-01,7.846479,8.576384,7.709622,8.393908,2.807634,71289272
1990-03-01,8.348289,8.964146,8.325479,8.622003,2.883927,93956877
1990-04-01,8.599194,8.872908,7.983336,8.051765,2.693191,71850991
1990-05-01,8.097384,8.895718,8.051765,8.416717,2.861415,84658682
1990-06-01,8.439527,8.781670,7.892098,7.983336,2.714078,85324524
1990-07-01,8.006146,8.257051,7.435908,7.572765,2.574498,90197486
1990-08-01,7.572765,7.595574,6.044526,6.363860,2.202965,133441468
1990-09-01,6.295431,6.523526,5.542716,5.633955,1.950295,71566022
1990-10-01,5.679574,6.021717,4.995288,5.063716,1.752896,142223432
1990-11-01,5.040907,5.383050,4.744383,4.995288,1.771045,126039409
1990-12-01,5.063716,5.177764,4.561906,4.858430,1.722523,130156657
