Date,Open,High,Low,Close,Adj Close,Volume
1972-05-29,2.153220,2.173495,2.141055,2.149165,0.269587,2265706
1972-06-05,2.149165,2.169440,2.043734,2.084284,0.261449,14938245
1972-06-12,2.084284,2.153220,2.068064,2.132945,0.267553,7521528
1972-06-19,2.132945,2.145110,2.072119,2.092394,0.262466,5597988
1972-06-26,2.092394,2.112670,2.051844,2.072119,0.259923,3683699
1972-07-03,2.072119,2.096449,2.031569,2.068064,0.259414,4364952
1972-07-10,2.068064,2.072119,1.991019,2.011294,0.252293,4503668
1972-07-17,2.011294,2.076174,1.978854,2.043734,0.256362,4734863
1972-07-24,2.059954,2.112670,2.059954,2.096449,0.262975,6368636
1972-07-31,2.096449,2.181605,2.076174,2.169440,0.274998,10354428
1972-08-07,2.169440,2.181605,2.120780,2.153220,0.272941,8196615
1972-08-14,2.161330,2.177550,2.092394,2.128890,0.269857,7265670
1972-08-21,2.128890,2.258651,2.112670,2.193770,0.278081,9922866
1972-08-28,2.193770,2.214045,2.128890,2.185660,0.277054,4929066
1972-09-04,2.185660,2.193770,2.128890,2.145110,0.271914,2536973
1972-09-11,2.145110,2.145110,2.100504,2.128890,0.269857,3569642
1972-09-18,2.124835,2.128890,2.043734,2.068064,0.262147,5221911
1972-09-25,2.068064,2.173495,2.059954,2.161330,0.273970,6997486
1972-10-02,2.161330,2.173495,2.080229,2.116725,0.268315,4096766
1972-10-09,2.116725,2.153220,2.076174,2.088339,0.264717,4845836
1972-10-16,2.084284,2.104560,2.059954,2.100504,0.266259,5678136
1972-10-23,2.100504,2.149165,2.100504,2.149165,0.272428,7805125
1972-10-30,2.149165,2.335696,2.137000,2.335696,0.299137,16103464
1972-11-06,2.339751,2.445182,2.319476,2.428962,0.311082,19774833
1972-11-13,2.428962,2.526282,2.384356,2.526282,0.323546,18483227
1972-11-20,2.526282,2.558723,2.493842,2.514117,0.321988,12265636
1972-11-27,2.501952,2.501952,2.388411,2.457347,0.314717,10943204
1972-12-04,2.465457,2.546558,2.465457,2.514117,0.321988,12533822
1972-12-11,2.514117,2.542503,2.481677,2.481677,0.317833,12795843
1972-12-18,2.449237,2.449237,2.388411,2.449237,0.313679,8868620
1972-12-25,2.457347,2.591163,2.457347,2.583053,0.330817,7290331
1973-01-01,2.583053,2.611438,2.510062,2.599273,0.332894,11871064
1973-01-08,2.599273,2.672263,2.546558,2.550613,0.326662,19290866
1973-01-15,2.550613,2.603328,2.441127,2.473567,0.316795,11960460
1973-01-22,2.473567,2.481677,2.384356,2.412742,0.309005,10508559
1973-01-29,2.412742,2.437072,2.262706,2.287036,0.295646,14386460
1973-02-05,2.287036,2.307311,2.197825,2.270816,0.293550,16427136
1973-02-12,2.270816,2.384356,2.214045,2.266761,0.293025,16800131
1973-02-19,2.266761,2.295146,2.189715,2.189715,0.283065,5184922
1973-02-26,2.189715,2.193770,2.092394,2.157275,0.278872,9784150
1973-03-05,2.157275,2.185660,2.124835,2.137000,0.276251,7703399
1973-03-12,2.137000,2.153220,2.076174,2.092394,0.270485,6155938
1973-03-19,2.092394,2.092394,1.950468,2.011294,0.260001,7956172
1973-03-26,2.011294,2.100504,1.986964,2.055899,0.265767,9818058
